"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3.434727000E-3;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
8.226956000E-3;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
1.301904000E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
1.781126800E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
2.260334700E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
2.739556600E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
3.218764500E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
3.697987400E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
4.177197700E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
4.656420600E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
5.135628500E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
5.614857600E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
6.094080900E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
6.573288600E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
7.052513500E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
7.531721400E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
8.010944200E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
8.490153000E-2;-8.073109984E-1;5.050799847E-1;-8.296160102E-1
8.969375900E-2;2.112780064E-1;-1.115489975E-1;-1.889500022E-2
9.448583900E-2;3.141140044E-1;-4.875800014E-2;2.110300064E-1
9.927806800E-2;2.474520057E-1;-6.877899915E-2;4.317249954E-1
1.040703760E-1;-1.128109992E-1;-3.763329983E-1;5.783489943E-1
1.088624500E-1;4.737260044E-1;-1.693660021E-1;8.570330143E-1
1.136546780E-1;6.255310178E-1;4.414200038E-2;1.141021967E0
1.184467570E-1;6.302149892E-1;8.956900239E-2;1.245923996E0
1.232389760E-1;6.793569922E-1;1.127109975E-1;1.341763020E0
1.280310550E-1;8.345360160E-1;9.910199791E-2;1.313583970E0
1.328232980E-1;1.018957973E0;1.585520059E-1;1.151854038E0
1.376153770E-1;1.051601052E0;1.381780058E-1;9.163990021E-1
1.424076050E-1;9.714360237E-1;3.853800148E-2;5.880020261E-1
1.471996990E-1;9.984139800E-1;8.212699741E-2;2.887830138E-1
1.519919280E-1;9.511709809E-1;2.256149948E-1;1.880400069E-2
1.567840070E-1;8.519039750E-1;3.901070058E-1;-2.745949924E-1
1.615763030E-1;7.462720275E-1;5.306119919E-1;-5.771219730E-1
1.663685360E-1;5.842610002E-1;6.904590130E-1;-8.433120251E-1
1.711605990E-1;4.300679862E-1;8.914340138E-1;-1.082784057E0
1.759528270E-1;2.570059896E-1;1.195485950E0;-1.367326021E0
1.807449060E-1;1.100089997E-1;1.409517050E0;-1.701874971E0
1.855371440E-1;-7.485800236E-2;1.400732040E0;-2.089019060E0
1.903292230E-1;-2.255280018E-1;1.504291058E0;-2.356359005E0
1.951214520E-1;-2.824569941E-1;1.607903957E0;-2.614078999E0
1.999135170E-1;-3.675149977E-1;1.675922036E0;-2.909972906E0
2.047057450E-1;-5.884619951E-1;1.795874000E0;-3.064877987E0
2.094978230E-1;-8.088740110E-1;1.862583995E0;-3.086014986E0
2.142900520E-1;-9.835569859E-1;1.945487976E0;-3.047617912E0
2.190821310E-1;-1.174934983E0;1.972851038E0;-2.978441954E0
2.238744370E-1;-1.399144053E0;2.020004988E0;-2.859057903E0
2.286666700E-1;-1.520125031E0;2.023684978E0;-2.718471050E0
2.334587470E-1;-1.626642942E0;1.881603003E0;-2.564001083E0
2.382509850E-1;-1.690153003E0;1.901515007E0;-2.388267994E0
2.430429870E-1;-1.682279944E0;1.844122052E0;-2.172161102E0
2.478352830E-1;-1.703713059E0;1.845468044E0;-1.968276978E0
2.526273620E-1;-1.806748033E0;1.776327968E0;-1.757464051E0
2.574195910E-1;-1.941264033E0;1.770167947E0;-1.589892983E0
2.622116800E-1;-1.983219028E0;1.759731054E0;-1.460755944E0
2.670039080E-1;-2.018541098E0;1.701851964E0;-1.358054042E0
2.717959870E-1;-2.040079117E0;1.627571940E0;-1.241073966E0
2.765882210E-1;-2.064476967E0;1.617678046E0;-1.179134011E0
2.813803000E-1;-2.067817926E0;1.578724980E0;-1.129122019E0
2.861725340E-1;-2.040421963E0;1.579854012E0;-1.071825027E0
2.909646130E-1;-2.006223917E0;1.563639045E0;-1.000072002E0
2.957569180E-1;-1.984264016E0;1.560984015E0;-9.928230047E-1
3.005489060E-1;-1.969653010E0;1.526479006E0;-1.023759007E0
