Time(s);Latitude;Longitude;Height(m);Velocity(m/s);Direction(°);Horizontal Accuracy(m);Vertical Accuracy(m)
2.389146100E-2;6.029142760E1;2.503978360E1;1.863545776E1;NaN;NaN;1.078069992E2;1.675541878E1
4.045729308E0;6.029137833E1;2.504000500E1;-2.664028523E0;1.189008355E-1;5.509000015E1;2.400000095E0;1.729999924E1
5.044885615E0;6.029138000E1;2.504000833E1;-5.764023292E0;3.021419346E-1;4.404999924E1;2.200000048E0;1.530000019E1
6.435064077E0;6.029137667E1;2.504000167E1;-7.464033754E0;8.930430412E-1;2.602000046E1;2.099999905E0;1.519999981E1
7.433216077E0;6.029137833E1;2.504000667E1;-8.864025037E0;9.270147085E-1;2.368000031E1;2.099999905E0;1.500000000E1
8.433218231E0;6.029138000E1;2.504000833E1;-1.016402329E1;1.014517546E0;9.829999924E0;2.000000000E0;1.500000000E1
9.433289616E0;6.029138667E1;2.504001500E1;-1.146401631E1;6.073722243E-1;3.451600037E2;2.099999905E0;1.510000038E1
1.043443454E1;6.029139500E1;2.504001167E1;-1.256403198E1;7.813483477E-1;2.090999985E1;2.099999905E0;1.670000076E1
1.143558369E1;6.029139667E1;2.504001167E1;-1.366403372E1;8.307616711E-1;2.670000076E1;2.099999905E0;1.460000038E1
1.243475208E1;6.029139833E1;2.504000667E1;-1.476404592E1;7.808336020E-1;8.890000343E0;2.099999905E0;1.460000038E1
1.343478008E1;6.029140500E1;2.504000333E1;-1.556405985E1;7.566416860E-1;4.340000153E0;2.099999905E0;1.389999962E1
1.443491077E1;6.029140667E1;2.504000667E1;-1.646405462E1;1.000620008E0;1.887999916E1;2.099999905E0;1.389999962E1
1.543632462E1;6.029141000E1;2.504002000E1;-1.666403021E1;5.795772076E-1;2.239999962E1;2.099999905E0;1.450000000E1
1.643293823E1;6.029141333E1;2.504003667E1;-1.626399883E1;1.072681069E0;2.588999939E1;2.099999905E0;1.489999962E1
1.743204531E1;6.029142833E1;2.504005000E1;-1.576398661E1;1.025841355E0;1.510999966E1;2.000000000E0;1.510000038E1
1.843276654E1;6.029144167E1;2.504006167E1;-1.516397613E1;1.007826090E0;1.159000015E1;2.000000000E0;1.629999924E1
1.943425085E1;6.029145500E1;2.504006667E1;-1.426397959E1;1.219376922E0;1.515999985E1;2.000000000E0;1.620000076E1
2.043337846E1;6.029147333E1;2.504007500E1;-1.336398130E1;1.059813023E0;1.400000000E1;1.899999976E0;1.660000038E1
2.143145139E1;6.029149500E1;2.504008667E1;-1.226397952E1;1.006796718E0;1.400000000E1;1.899999976E0;1.589999962E1
2.243050277E1;6.029151000E1;2.504009500E1;-1.126397775E1;1.231215596E0;1.400000000E1;1.799999952E0;1.610000038E1
2.343510316E1;6.029152167E1;2.504010000E1;-1.076397947E1;9.342208505E-1;1.400000000E1;1.799999952E0;1.610000038E1
2.443492800E1;6.029153500E1;2.504010667E1;-1.016397945E1;1.028929710E0;1.400000000E1;1.799999952E0;1.660000038E1
2.543534069E1;6.029154833E1;2.504011333E1;-9.563979427E0;1.090181708E0;1.400000000E1;1.799999952E0;1.670000076E1
2.643575077E1;6.029156833E1;2.504012333E1;-8.963979392E0;1.111285329E0;1.400000000E1;1.700000048E0;1.560000038E1
2.743382100E1;6.029158500E1;2.504013167E1;-8.463979362E0;1.109226346E0;1.400000000E1;1.700000048E0;1.610000038E1
2.843792000E1;6.029160000E1;2.504013833E1;-7.763981079E0;1.141653895E0;1.400000000E1;1.700000048E0;1.629999924E1
2.943418400E1;6.029161333E1;2.504014500E1;-7.363981055E0;1.132903576E0;1.400000000E1;1.700000048E0;1.600000000E1
3.044455262E1;6.029162333E1;2.504015167E1;-6.863977551E0;1.118491411E0;1.400000000E1;1.700000048E0;1.639999962E1
3.143304769E1;6.029163333E1;2.504015667E1;-6.563977533E0;1.134962559E0;1.400000000E1;1.799999952E0;1.700000000E1
3.243669477E1;6.029165167E1;2.504016500E1;-6.363979243E0;1.109741092E0;1.400000000E1;1.899999976E0;1.539999962E1
3.343355331E1;6.029166500E1;2.504017167E1;-5.963979219E0;1.071651697E0;1.400000000E1;1.799999952E0;1.569999981E1
3.443388769E1;6.029167500E1;2.504017667E1;-5.763979201E0;1.057754159E0;1.400000000E1;1.899999976E0;1.750000000E1
3.543456408E1;6.029169167E1;2.504018500E1;-4.763979171E0;1.041283011E0;1.400000000E1;1.899999976E0;1.650000000E1
3.644031300E1;6.029170667E1;2.504019333E1;-3.763977401E0;1.003193617E0;1.400000000E1;1.799999952E0;1.069999981E1
3.743329446E1;6.029172667E1;2.504020333E1;-2.863977365E0;1.002164125E0;1.400000000E1;1.799999952E0;1.039999962E1
3.843358408E1;6.029173833E1;2.504020833E1;-1.763979086E0;9.774575233E-1;1.400000000E1;1.799999952E0;1.050000000E1
3.943558316E1;6.029175333E1;2.504021667E1;-6.639773160E-1;9.589275122E-1;1.400000000E1;1.700000048E0;1.019999981E1
4.043470408E1;6.029177167E1;2.504021500E1;9.360000593E-1;9.944433570E-1;3.506700134E2;1.600000024E0;8.899999619E0
4.143554277E1;6.029179333E1;2.504021333E1;2.335973955E0;1.015546918E0;1.093999958E1;1.600000024E0;8.899999619E0
4.243482346E1;6.029181333E1;2.504021667E1;3.835960048E0;1.051062822E0;1.721999931E1;1.500000000E0;8.600000381E0
4.343178039E1;6.029183167E1;2.504021833E1;5.335944395E0;1.111285329E0;2.397999954E1;1.500000000E0;8.300000191E0
4.443844554E1;6.029184833E1;2.504021667E1;6.735923510E0;1.124153376E0;5.349999905E0;1.399999976E0;8.000000000E0
4.543491423E1;6.029186333E1;2.504021500E1;7.635904365E0;1.180772781E0;6.309999943E0;1.399999976E0;7.900000095E0
4.643552462E1;6.029188000E1;2.504021333E1;8.435883480E0;1.239451170E0;5.760000229E0;1.399999976E0;7.900000095E0
4.743261477E1;6.029189500E1;2.504021333E1;9.335867821E0;1.267246127E0;1.244999981E1;1.299999952E0;7.900000095E0
4.843681570E1;6.029190833E1;2.504021667E1;1.023586087E1;1.278570056E0;1.290999985E1;1.299999952E0;8.000000000E0
4.943621046E1;6.029192000E1;2.504021833E1;1.073585218E1;1.314600587E0;1.319999981E1;1.299999952E0;8.199999809E0
5.043574439E1;6.029193500E1;2.504022333E1;1.153584698E1;1.327468634E0;1.002000046E1;1.299999952E0;8.100000381E0
5.143451362E1;6.029194833E1;2.504022333E1;1.213583306E1;1.343939781E0;9.010000229E0;1.299999952E0;8.000000000E0
5.243365423E1;6.029196167E1;2.504022333E1;1.253581914E1;1.338792443E0;3.269999981E0;1.299999952E0;8.399999619E0
5.343768093E1;6.029197333E1;2.504022167E1;1.293580348E1;1.340336680E0;1.180000019E1;1.299999952E0;8.600000381E0
5.443757447E1;6.029198333E1;2.504021333E1;1.323577561E1;1.353719473E0;3.379400024E2;1.299999952E0;8.300000191E0
5.543357539E1;6.029199500E1;2.504019500E1;1.353572508E1;1.324380279E0;3.153099976E2;1.299999952E0;8.500000000E0
5.643678900E1;6.029200500E1;2.504017000E1;1.363566235E1;1.353719473E0;3.071900024E2;1.399999976E0;8.899999619E0
5.743221477E1;6.029201500E1;2.504014000E1;1.393558916E1;1.369161129E0;3.119700012E2;1.399999976E0;9.199999809E0
5.843771231E1;6.029202500E1;2.504011333E1;1.413552295E1;1.436589718E0;3.063500061E2;1.399999976E0;9.699999809E0
5.943286370E1;6.029203667E1;2.504007333E1;1.443542710E1;1.444825292E0;3.125799866E2;1.600000024E0;9.800000191E0
6.044462039E1;6.029204667E1;2.504004167E1;1.463535043E1;1.516371608E0;3.042799988E2;1.600000024E0;1.000000000E1
6.143537085E1;6.029205667E1;2.504002333E1;1.473530164E1;1.511739135E0;3.109599915E2;1.600000024E0;1.030000019E1
6.243657908E1;6.029206667E1;2.503999667E1;1.473523543E1;1.565270305E0;3.068099976E2;1.600000024E0;1.030000019E1
6.344327454E1;6.029207833E1;2.503995667E1;1.483513958E1;1.619316101E0;2.890000000E2;1.600000024E0;1.039999962E1
6.443260370E1;6.029208167E1;2.503993833E1;1.493509776E1;1.702186346E0;2.890000000E2;1.600000024E0;1.050000000E1
6.543314647E1;6.029208333E1;2.503992000E1;1.503505767E1;1.741819978E0;2.890000000E2;1.600000024E0;1.060000038E1
6.643393631E1;6.029209167E1;2.503987833E1;1.503496182E1;1.742334723E0;2.890000000E2;1.600000024E0;1.060000038E1
6.743231570E1;6.029209333E1;2.503986500E1;1.503493219E1;1.792777538E0;2.890000000E2;1.600000024E0;9.699999809E0
6.843478770E1;6.029209667E1;2.503984667E1;1.503489036E1;1.775791645E0;2.890000000E2;1.600000024E0;1.019999981E1
6.943388431E1;6.029210500E1;2.503979500E1;1.523477360E1;1.832411170E0;2.890000000E2;1.700000048E0;9.199999809E0
7.043554677E1;6.029210667E1;2.503979167E1;1.523476488E1;1.793806911E0;2.890000000E2;1.799999952E0;9.500000000E0
7.143514839E1;6.029211667E1;2.503973167E1;1.523462894E1;1.802042484E0;2.890000000E2;1.799999952E0;9.500000000E0
7.243249824E1;6.029211500E1;2.503973667E1;1.523464114E1;1.755717516E0;2.890000000E2;1.899999976E0;9.699999809E0
7.343491847E1;6.029212500E1;2.503967667E1;1.523450520E1;1.699612737E0;2.890000000E2;1.899999976E0;9.600000381E0
7.443306593E1;6.029213667E1;2.503961500E1;1.523436404E1;1.666155815E0;2.890000000E2;1.899999976E0;9.600000381E0
7.543761354E1;6.029213333E1;2.503963000E1;1.533439889E1;1.638875604E0;2.890000000E2;1.899999976E0;9.100000381E0
7.643304685E1;6.029213000E1;2.503965333E1;1.543445118E1;1.615198374E0;2.890000000E2;1.899999976E0;1.039999962E1
7.743630647E1;6.029214333E1;2.503957833E1;1.593428038E1;1.572476387E0;2.890000000E2;1.899999976E0;1.069999981E1
7.843603231E1;6.029215500E1;2.503950167E1;1.633410784E1;1.567843914E0;2.890000000E2;1.899999976E0;9.600000381E0
7.943349601E1;6.029215167E1;2.503952333E1;1.683415664E1;1.522548318E0;2.890000000E2;1.899999976E0;9.800000191E0
8.044617139E1;6.029216333E1;2.503945167E1;1.713399456E1;1.544166684E0;2.890000000E2;1.899999976E0;9.899999619E0
8.144205631E1;6.029216167E1;2.503947167E1;1.733403813E1;1.568358660E0;2.890000000E2;1.899999976E0;1.100000000E1
8.243126039E1;6.029215833E1;2.503948667E1;1.753407299E1;1.584829688E0;2.890000000E2;1.899999976E0;1.130000019E1
8.343527854E1;6.029217000E1;2.503942167E1;1.793392485E1;1.644022822E0;2.890000000E2;2.000000000E0;1.130000019E1
8.443441731E1;6.029217000E1;2.503941500E1;1.773391090E1;1.629095793E0;2.880000000E2;1.899999976E0;1.010000038E1
8.543547854E1;6.029218000E1;2.503935667E1;1.763377845E1;1.652258277E0;2.880000000E2;1.899999976E0;1.030000019E1
8.643482462E1;6.029218000E1;2.503935667E1;1.773377845E1;1.680053353E0;2.880000000E2;2.000000000E0;1.030000019E1
8.743476277E1;6.029219000E1;2.503929833E1;1.783364599E1;1.678509116E0;2.880000000E2;2.000000000E0;1.039999962E1
8.843234593E1;6.029218833E1;2.503930333E1;1.753365819E1;1.695495009E0;2.880000000E2;2.000000000E0;1.019999981E1
8.943478624E1;6.029218833E1;2.503931000E1;1.773367214E1;1.689833045E0;2.880000000E2;2.000000000E0;1.060000038E1
9.042935916E1;6.029219833E1;2.503924833E1;1.773353271E1;1.672332525E0;2.880000000E2;2.000000000E0;1.050000000E1
9.144068831E1;6.029220833E1;2.503917667E1;1.753337236E1;1.685715318E0;2.880000000E2;2.000000000E0;1.010000038E1
9.243526931E1;6.029220500E1;2.503920167E1;1.783342814E1;1.696009755E0;2.880000000E2;2.000000000E0;1.010000038E1
9.343264554E1;6.029221667E1;2.503912667E1;1.803325908E1;1.688288927E0;2.880000000E2;2.000000000E0;1.019999981E1
9.443489024E1;6.029221500E1;2.503914333E1;1.813329568E1;1.718657494E0;2.880000000E2;2.000000000E0;1.010000038E1
9.543514093E1;6.029222667E1;2.503907000E1;1.813313011E1;1.721745849E0;2.880000000E2;2.000000000E0;9.399999619E0
9.643359854E1;6.029222333E1;2.503909000E1;1.793317542E1;1.693950891E0;2.880000000E2;2.000000000E0;9.300000191E0
9.743183447E1;6.029223500E1;2.503901833E1;1.783301334E1;1.702701092E0;2.880000000E2;2.000000000E0;9.600000381E0
9.843357108E1;6.029223167E1;2.503904000E1;1.763306214E1;1.666155815E0;2.880000000E2;2.000000000E0;9.500000000E0
9.943480408E1;6.029224333E1;2.503896667E1;1.793289656E1;1.682626963E0;2.880000000E2;2.000000000E0;9.399999619E0
1.004335235E2;6.029225667E1;2.503888667E1;1.783271531E1;1.654831886E0;2.880000000E2;2.000000000E0;9.399999619E0
1.014351465E2;6.029225167E1;2.503891333E1;1.783277631E1;1.618801355E0;2.880000000E2;2.000000000E0;9.600000381E0
1.024362597E2;6.029226333E1;2.503883667E1;1.813260376E1;1.621889710E0;2.880000000E2;2.000000000E0;9.699999809E0
1.034347923E2;6.029226167E1;2.503885333E1;1.833264036E1;1.602330327E0;2.880000000E2;2.000000000E0;9.800000191E0
1.044363523E2;6.029226000E1;2.503885833E1;1.793265256E1;1.568358660E0;2.880000000E2;1.899999976E0;9.800000191E0
1.054346923E2;6.029226833E1;2.503880833E1;1.803253927E1;1.532842755E0;2.880000000E2;1.899999976E0;9.000000000E0
1.064348702E2;6.029226833E1;2.503880667E1;1.793253579E1;1.495782733E0;2.880000000E2;1.799999952E0;9.000000000E0
1.074391192E2;6.029227000E1;2.503880167E1;1.803252359E1;1.442766428E0;2.880000000E2;1.799999952E0;8.800000191E0
1.084340475E2;6.029227500E1;2.503877167E1;1.813245562E1;1.416000843E0;2.880000000E2;1.899999976E0;9.399999619E0
1.094351404E2;6.029228167E1;2.503873000E1;1.883236150E1;1.358866692E0;2.880000000E2;1.899999976E0;8.800000191E0
1.104348582E2;6.029228000E1;2.503873500E1;1.953237370E1;1.309968114E0;2.880000000E2;1.899999976E0;9.000000000E0
1.114288625E2;6.029228000E1;2.503873333E1;2.003237021E1;1.263128281E0;2.880000000E2;1.799999952E0;8.899999619E0
1.124329370E2;6.029228333E1;2.503872000E1;2.023233884E1;1.192611337E0;2.880000000E2;1.799999952E0;9.500000000E0
1.134317752E2;6.029228667E1;2.503869500E1;2.043228307E1;1.150404215E0;2.880000000E2;1.799999952E0;1.000000000E1
1.144327234E2;6.029229000E1;2.503867833E1;2.053224473E1;1.100990891E0;2.880000000E2;1.799999952E0;1.069999981E1
1.154346843E2;6.029229333E1;2.503865667E1;2.073219593E1;1.076284170E0;2.880000000E2;1.899999976E0;1.119999981E1
1.164347921E2;6.029229833E1;2.503862333E1;2.103212098E1;1.087608099E0;2.880000000E2;1.899999976E0;1.130000019E1
1.174335684E2;6.029231000E1;2.503855667E1;2.163196935E1;1.085549116E0;2.880000000E2;1.899999976E0;9.500000000E0
1.184334179E2;6.029230500E1;2.503858333E1;2.233203035E1;1.062386632E0;2.880000000E2;1.899999976E0;9.500000000E0
1.194364668E2;6.029231167E1;2.503853833E1;2.253192926E1;1.059813023E0;2.880000000E2;1.899999976E0;9.000000000E0
1.204335816E2;6.029232000E1;2.503848833E1;2.273181597E1;1.052092195E0;2.880000000E2;1.799999952E0;8.899999619E0
1.214349398E2;6.029231833E1;2.503849833E1;2.283183863E1;1.047459722E0;2.880000000E2;1.700000048E0;9.100000381E0
1.224388979E2;6.029232667E1;2.503844833E1;2.283172534E1;1.045400858E0;2.880000000E2;1.700000048E0;8.899999619E0
1.234340280E2;6.029233500E1;2.503839833E1;2.323161205E1;1.040253639E0;2.880000000E2;1.600000024E0;8.100000381E0
1.244375675E2;6.029233333E1;2.503840667E1;2.333163122E1;1.063930869E0;2.880000000E2;1.600000024E0;7.699999809E0
1.254353877E2;6.029233000E1;2.503842500E1;1.933167305E1;1.044886112E0;2.880000000E2;1.500000000E0;8.100000381E0
1.264362711E2;6.029232833E1;2.503844167E1;1.673170966E1;1.036135793E0;2.880000000E2;1.500000000E0;8.100000381E0
1.274329132E2;6.029232667E1;2.503845333E1;1.493173580E1;1.037680030E0;2.880000000E2;1.500000000E0;7.199999809E0
1.284347631E2;6.029233333E1;2.503840500E1;1.383162774E1;1.031503320E0;2.880000000E2;1.399999976E0;7.199999809E0
1.294376545E2;6.029234000E1;2.503836667E1;1.293154059E1;1.039738894E0;2.880000000E2;1.399999976E0;6.900000095E0
1.304334518E2;6.029234000E1;2.503837000E1;1.193154757E1;1.036135793E0;2.880000000E2;1.399999976E0;7.000000000E0
1.314354979E2;6.029234333E1;2.503834333E1;1.093148831E1;1.052092195E0;2.880000000E2;1.399999976E0;7.199999809E0
1.324326929E2;6.029234500E1;2.503833333E1;1.013146565E1;1.050548077E0;2.880000000E2;1.399999976E0;7.500000000E0
1.334333358E2;6.029235000E1;2.503830000E1;9.431390701E0;1.060842514E0;2.880000000E2;1.399999976E0;7.400000095E0
1.344341496E2;6.029235000E1;2.503830167E1;8.631394188E0;1.043341994E0;2.870000000E2;1.500000000E0;7.800000191E0
1.354327831E2;6.029235000E1;2.503830333E1;8.131397674E0;1.029444456E0;2.870000000E2;1.600000024E0;7.500000000E0
1.364355093E2;6.029235500E1;2.503827667E1;7.631336672E0;1.002164125E0;2.870000000E2;1.500000000E0;7.500000000E0
1.374341669E2;6.029235333E1;2.503828000E1;7.331345386E0;9.795163870E-1;2.870000000E2;1.500000000E0;7.400000095E0
1.384362509E2;6.029235833E1;2.503825167E1;7.231280898E0;9.826047421E-1;2.870000000E2;1.399999976E0;7.199999809E0
1.394348004E2;6.029236333E1;2.503822000E1;7.131209438E0;9.553244710E-1;2.870000000E2;1.399999976E0;7.099999905E0
1.404330440E2;6.029236667E1;2.503819333E1;7.031150177E0;9.728249907E-1;2.870000000E2;1.399999976E0;7.099999905E0
1.414355167E2;6.029236833E1;2.503818333E1;6.931127519E0;9.357650280E-1;2.870000000E2;1.399999976E0;7.199999809E0
1.424364726E2;6.029236833E1;2.503817833E1;6.631117061E0;9.059110880E-1;2.870000000E2;1.399999976E0;7.400000095E0
1.434350890E2;6.029237000E1;2.503817833E1;6.431115320E0;8.333352804E-1;2.870000000E2;1.299999952E0;7.900000095E0
1.444428120E2;6.029237167E1;2.503816333E1;6.231082203E0;8.086286187E-1;2.870000000E2;1.299999952E0;8.000000000E0
1.454358354E2;6.029237500E1;2.503814333E1;5.931036887E0;8.487769365E-1;2.870000000E2;1.299999952E0;8.199999809E0
1.464366523E2;6.029237667E1;2.503812833E1;5.531003771E0;8.395119309E-1;2.870000000E2;1.399999976E0;8.199999809E0
1.474376520E2;6.029237833E1;2.503811500E1;5.330974140E0;8.225260973E-1;2.870000000E2;1.399999976E0;8.199999809E0
1.484334597E2;6.029238167E1;2.503809167E1;5.130921851E0;8.014224768E-1;2.870000000E2;1.500000000E0;8.000000000E0
1.494401918E2;6.029238500E1;2.503807500E1;4.930883508E0;8.009077907E-1;2.870000000E2;1.500000000E0;8.600000381E0
1.504345456E2;6.029238833E1;2.503805000E1;4.730827733E0;7.417147160E-1;2.870000000E2;1.500000000E0;8.699999809E0
1.514324369E2;6.029239333E1;2.503802500E1;4.530770217E0;7.720833421E-1;2.870000000E2;1.500000000E0;9.000000000E0
1.524361262E2;6.029239833E1;2.503799167E1;4.430695270E0;8.117169738E-1;2.870000000E2;1.500000000E0;8.899999619E0
1.534318071E2;6.029239833E1;2.503798667E1;4.330684811E0;8.446591496E-1;2.870000000E2;1.399999976E0;8.699999809E0
1.544363342E2;6.029240333E1;2.503795833E1;4.130620323E0;8.729689121E-1;2.870000000E2;1.399999976E0;8.800000191E0
1.554310560E2;6.029240333E1;2.503795167E1;3.930606378E0;8.498063684E-1;2.870000000E2;1.399999976E0;8.100000381E0
1.564356354E2;6.029240500E1;2.503794000E1;3.730580234E0;8.369383216E-1;2.870000000E2;1.399999976E0;8.300000191E0
1.574365415E2;6.029240833E1;2.503792333E1;3.830541890E0;8.693658113E-1;2.870000000E2;1.399999976E0;8.399999619E0
